Date;EUROSTAT_GDPEuroArea;STOXX_EUROSTOXX50;INSEE_PIBFR;EURONEXT_CAC40;EUSA10_Curncy;EUSA5_Curncy;EUR006M_Index;Chomage;INSEE_ConfianceMenagesFR;INSEE_ConsommationFinaleMenagesFR;INSEE_InvestEntreprisesNonFinancieresFR;CPI_Excl_Tabac;INSEE_ProductionIndustrielle_France;RDB_Nominal;BBG_TauxOat10Y;SP_SP500;PIB_Reel;EUR003M_Index;Spread5Y3M;Spread10Y3M;SpreadOat10Y3M;Spread6M3M;Spread5Y6M;Spread10Y6M;SpreadOAT10Y6M
31/01/2020;2671227,166666667;3640,91;571627,6666666666;5806,34;-0,054;-0,298;-0,338;7,699999999999999;104,0;298343,6666666667;75436,33333;103,94;102,475;371,7458333333333;-0,175;3225,52;552,387;-0,393;0,09500000000000003;0,339;0,21800000000000003;0,05499999999999999;0,040000000000000036;0,28400000000000003;0,16300000000000003
29/02/2020;2655703,083333333;3271,6975;560572,3333333334;5205,565;-0,10935;-0,3185;-0,34925;7,65;105,0;292431,3333333333;72961,66667;103,93;104,435;371,1651666666667;-0,287;2954,22;552,387;-0,423;0,10449999999999998;0,31365;0,136;0,07374999999999998;0,03075;0,2399;0,06225000000000003
31/03/2020;2595027,35;2786,9;549517,0;4396,12;-0,021;-0,238;-0,287;7,6;103,0;286519,0;70487,0;103,85;84,035;370,5845;-0,015;2584,59;552,387;-0,363;0,125;0,34199999999999997;0,348;0,07600000000000001;0,04899999999999999;0,26599999999999996;0,27199999999999996
30/04/2020;2544521,766666667;2927,93;524834,0;4572,18;-0,1593;-0,3336;-0,17;7,216666666666667;94,0;275398,3333333333;66822,33333;103,81;65,505;366,188;-0,11;2912,43;479,801;-0,273;-0,06059999999999999;0,11370000000000002;0,16300000000000003;0,10300000000000001;-0,1636;0,010700000000000015;0,06000000000000001
31/05/2020;2494016,183333334;3065,6;500151,0;4724,7625;-0,14805;-0,31455;-0,1985;7,133333333333333;91,0;264277,6666666667;63157,66667;103,95;79,57499999999999;365,595;-0,078;3044,31;479,801;-0,29;-0,024550000000000016;0,14195;0,21199999999999997;0,09149999999999997;-0,11604999999999999;0,05045000000000002;0,12050000000000001
30/06/2020;2294694,55;3234,07;475468,0;4935,99;-0,1689;-0,3496;-0,308;7,05;95,0;253157,0;59493,0;104,04;91,01;365,002;-0,111;3100,29;479,801;-0,422;0,07239999999999996;0,2531;0,311;0,11399999999999999;-0,041600000000000026;0,1391;0,197
31/07/2020;2342624,083333333;3174,32;504978,0;4783,69;-0,23;-0,393;-0,407;8,233333333333334;92,0;268842,0;65082,33333;104,44;94,925;373,6318333333334;-0,192;3271,12;563,464;-0,463;0,07;0,233;0,271;0,05600000000000005;0,013999999999999957;0,17699999999999996;0,21499999999999997
31/08/2020;2390553,616666667;3272,51;534488,0;4947,22;-0,1456;-0,358;-0,448;8,516666666666667;93,0;284527,0;70671,66667;104,34;95,375;374,9471666666666;-0,096;3500,31;563,464;-0,477;0,119;0,3314;0,381;0,02899999999999997;0,09000000000000002;0,3024;0,352
30/09/2020;2580570,95;3193,61;563998,0;4803,44;-0,2291;-0,428;-0,48;8,8;94,0;300212,0;76261,0;103,8;97,95;376,2625;-0,243;3363,0;563,464;-0,498;0,07;0,26890000000000003;0,255;0,018000000000000016;0,05199999999999999;0,2509;0,237
31/10/2020;2579068,55;3150,6425;561928,6666666666;4877,6175;-0,2551;-0,466275;-0,5075000000000001;8,183333333333334;93,0;294730,6666666667;76641,66667;103,75;98,86500000000001;380,4746666666667;-0,343;3269,96;559,575;-0,512;0,045725000000000016;0,2569;0,16899999999999998;0,0044999999999999485;0,04122500000000007;0,25240000000000007;0,16450000000000004
30/11/2020;2577566,15;3492,54;559859,3333333334;5518,55;-0,2533;-0,4571;-0,508;8,016666666666666;89,0;289249,3333333333;77022,33333;103,86;99,215;381,8448333333333;-0,326;3621,63;559,575;-0,526;0,06890000000000002;0,2727;0,2;0,018000000000000016;0,0509;0,2547;0,182
31/12/2020;2572736,3;3552,64;557790,0;5551,41;-0,2604;-0,459;-0,526;7,85;95,0;283768,0;77403,0;104,09;98,07499999999999;383,215;-0,338;3756,07;559,575;-0,545;0,08600000000000002;0,2846;0,20700000000000002;0,019000000000000017;0,067;0,2656;0,188
31/01/2021;2571855,3;3578,135;558056,3333333334;5561,28;-0,1686333333333333;-0,4273;-0,5256666666666667;7,916666666666666;93,0;283577,3333333333;77700,33333;104,24;101,455;382,3193333333334;-0,281;3714,24;559,604;-0,544;0,11670000000000003;0,37536666666666674;0,263;0,018333333333333313;0,09836666666666671;0,3570333333333334;0,2446666666666667
28/02/2021;2570974,3;3716,73;558322,6666666666;5799,255;0,001933333333333336;-0,3310999999999999;-0,5153333333333334;7,933333333333334;92,0;283386,6666666667;77997,66667;104,24;97,0;382,4911666666667;-0,011;3811,15;559,604;-0,538;0,20690000000000014;0,5399333333333334;0,527;0,022666666666666613;0,18423333333333353;0,5172666666666668;0,5043333333333334
31/03/2021;2569629,75;3919,21;558589,0;6067,23;0,067;-0,3198;-0,509;7,95;95,0;283196,0;78295,0;104,89;97,93;382,663;-0,046;3972,89;559,604;-0,538;0,21820000000000006;0,605;0,49200000000000005;0,029000000000000026;0,18920000000000003;0,5760000000000001;0,463
30/04/2021;2579032,3;3974,74;561074,0;6269,48;0,138;-0,263;-0,521;7,783333333333333;95,0;284459,6666666667;78781,33333;105,0;97,93;384,2178333333334;0,156;4181,17;565,095;-0,535;0,272;0,673;0,6910000000000001;0,014000000000000012;0,258;0,659;0,677
31/05/2021;2588434,85;4039,46;563559,0;6447,17;0,1191;-0,259;-0,513;7,766666666666667;98,0;285723,3333333333;79267,66667;105,34;97,125;384,5811666666667;0,17;4204,11;565,095;-0,544;0,28500000000000003;0,6631;0,7140000000000001;0,031000000000000028;0,254;0,6321;0,683
30/06/2021;2623176,65;4064,3;566044,0;6507,83;0,1024;-0,2558;-0,515;7,75;102,0;286987,0;79754,0;105,48;97,7;384,9445;0,126;4297,5;565,095;-0,542;0,2862;0,6444000000000001;0,668;0,027000000000000024;0,2592;0,6174000000000001;0,641
31/07/2021;2633068,716666667;4109,827499999999;571987,3333333334;6603,3825;-0,01732499999999999;-0,33045;-0,52075;7,8;100,0;292329,3333333333;79777,0;105,55;98,45500000000001;388,9148333333333;-0,105;4395,26;582,458;-0,547;0,21655000000000002;0,529675;0,44200000000000006;0,026249999999999996;0,19030000000000002;0,503425;0,41575000000000006
31/08/2021;2642960,783333333;4196,41;577930,6666666666;6680,18;-0,0267;-0,34;-0,522;7,8;98,0;297671,6666666667;79800,0;106,21;98,875;389,4601666666666;-0,03;4522,68;582,458;-0,548;0,20800000000000002;0,5213000000000001;0,518;0,026000000000000023;0,182;0,4953;0,492
30/09/2021;2682776,5;4048,08;583874,0;6520,01;0,1609;-0,194;-0,528;7,8;101,0;303014,0;79823,0;105,97;97,595;390,0055;0,155;4307,54;582,458;-0,545;0,35100000000000003;0,7059;0,7000000000000001;0,017000000000000015;0,334;0,6889000000000001;0,683
31/10/2021;2684070,5;4153,065000000001;585257,0;6725,4625;0,213375;-0,0625;-0,53;7,449999999999999;99,0;303447,3333333333;80029,66667;106,42;98,81;395,0826666666667;0,27;4605,38;585,428;-0,557;0,49450000000000005;0,770375;0,8270000000000001;0,027000000000000024;0,4675;0,743375;0,8
30/11/2021;2685364,5;4063,06;586640,0;6721,16;0,129;-0,123;-0,538;7,35;98,0;303880,6666666667;80236,33333;106,82;97,475;396,1143333333333;0,011;4567,0;585,428;-0,573;0,44999999999999996;0,702;0,584;0,03499999999999992;0,41500000000000004;0,667;0,549
31/12/2021;2694127,65;4298,41;588023,0;7151,514999999999;0,277175;-0,001249999999999999;-0,546;7,25;99,0;304314,0;80443,0;107,03;98,08;397,146;0,198;4770,0;585,428;-0,572;0,57075;0,849175;0,77;0,025999999999999912;0,5447500000000001;0,823175;0,744
31/01/2022;2698503,083333333;4174,6;586917,6666666666;6999,2;0,4381;0,20575;-0,514;7,1;98,0;303695,3333333333;81436,33333;107,3;100,225;398,222;0,426;4515,55;584,707;-0,552;0,75775;0,9901;0,978;0,038000000000000034;0,71975;0,9521;0,94
