Date;EUROSTAT_GDPEuroArea;STOXX_EUROSTOXX50;INSEE_PIBFR;EURONEXT_CAC40;EUSA10_Curncy;EUSA5_Curncy;EUR006M_Index;Chomage;INSEE_ConfianceMenagesFR;INSEE_ConsommationFinaleMenagesFR;INSEE_InvestEntreprisesNonFinancieresFR;CPI_Excl_Tabac;INSEE_ProductionIndustrielle_France;RDB_Nominal;BBG_TauxOat10Y;SP_SP500;PIB_Reel;EUR003M_Index;Spread5Y3M;Spread10Y3M;SpreadOat10Y3M;Spread6M3M;Spread5Y6M;Spread10Y6M;SpreadOAT10Y6M
30/09/2011;2426467,6;2179,66;528155,0;2981,96;2,5308;1,9565;1,753;8,8;84,0;277895,0;63116,0;97,23;100,95;323,141;2,602;1131,42;528,218;1,554;0,40249999999999986;0,9768000000000001;1,0479999999999998;0,19899999999999984;0,20350000000000001;0,7778000000000003;0,849
31/10/2011;2424813,9;2385,22;528474,0;3242,84;2,5748;1,9803;1,788;8,866666666666667;86,0;277460,3333333333;63461,33333;97,42;101,17;323,4243333333333;3,102;1253,3;529,433;1,591;0,3893;0,9838000000000002;1,511;0,19700000000000006;0,19229999999999992;0,7868000000000002;1,3139999999999998
30/11/2011;2423160,2;2330,43;528793,0;3154,62;2,7218;2,039;1,701;8,933333333333334;84,0;277025,6666666667;63806,66667;97,64;103,9;323,7076666666667;3,391;1246,96;529,433;1,473;0,5660000000000001;1,2488;1,918;0,22799999999999998;0,3380000000000001;1,0208;1,69
31/12/2011;2416312,25;2373,545;529112,0;3226,585;2,48315;1,78625;1,5595;9,0;83,0;276591,0;64152,0;98,04;101,78;323,991;3,148;1257,61;529,433;1,387;0,3992499999999999;1,0961500000000002;1,7610000000000001;0,1725000000000001;0,22674999999999979;0,9236500000000001;1,5885
31/01/2012;2415462,15;2416,66;529263,0;3298,55;2,2445;1,5335;1,418;9,033333333333333;84,0;276659,0;63920,33333;97,68;100,91;324,9283333333333;3,05;1312,41;529,269;1,125;0,4085000000000001;1,1195;1,9249999999999998;0,2929999999999999;0,11550000000000016;0,8265;1,632
29/02/2012;2414612,05;2512,11;529414,0;3452,45;2,2475;1,547;1,279;9,066666666666666;85,0;276727,0;63688,66667;98,09;99,75;325,8656666666667;2,879;1365,68;529,269;0,983;0,564;1,2645;1,896;0,29599999999999993;0,268;0,9685000000000001;1,6
31/03/2012;2411169,8;2409,27;529565,0;3332,625;2,21525;1,4855;1,1385;9,1;89,0;276795,0;63457,0;98,93;101,38;326,803;2,89;1408,47;529,269;0,787;0,6985;1,4282500000000002;2,103;0,35150000000000003;0,347;1,07675;1,7515
30/04/2012;2410105,2;2306,43;529290,3333333334;3212,8;2,183;1,424;0,998;9,2;90,0;276724,0;63280,0;99,06;99,79;327,2826666666667;2,961;1397,91;528,677;0,708;0,716;1,4749999999999999;2,253;0,29000000000000004;0,42599999999999993;1,1849999999999998;1,9629999999999999
31/05/2012;2409040,6;2118,94;529015,6666666666;3017,01;1,678;1,171;0,946;9,3;92,0;276653,0;63103,0;99,0;99,46;327,7623333333333;2,356;1310,33;528,677;0,668;0,503;1,0099999999999998;1,6879999999999997;0,2779999999999999;0,2250000000000001;0,732;1,41
30/06/2012;2404796,0;2222,33;528741,0;3154,335;1,7235;1,0995;0,8085;9,4;91,0;276582,0;62926,0;99,04;98,64;328,242;2,686;1362,16;528,677;0,652;0,4474999999999999;1,0715;2,034;0,15649999999999997;0,2909999999999999;0,915;1,8775
