Date;BDF_AffacturageSNFEncours
31/01/2020;35844,0
29/02/2020;35098,0
31/03/2020;36426,0
30/04/2020;31433,0
31/05/2020;28311,0
30/06/2020;30860,0
31/07/2020;32012,0
31/08/2020;30575,0
30/09/2020;31073,0
31/10/2020;32700,0
30/11/2020;32945,0
31/12/2020;35607,0
31/01/2021;32949,0
28/02/2021;32150,0
31/03/2021;33492,0
30/04/2021;34278,0
31/05/2021;33378,0
30/06/2021;33290,0
31/07/2021;34400,0
31/08/2021;31365,0
30/09/2021;30904,0
31/10/2021;32971,0
30/11/2021;33858,0
31/12/2021;38331,0
31/01/2022;34619,0
28/02/2022;34169,0
31/03/2022;36119,0
30/04/2022;36346,0
31/05/2022;35724,0
30/06/2022;38217,0
31/07/2022;37646,0
31/08/2022;34314,0
30/09/2022;34585,0
31/10/2022;37126,0
30/11/2022;38637,0
31/12/2022;42027,0
