RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
5,5;5,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUSA5_Curncy.Diff.t;1,19;1131,06;Level;Difference;1;1,0;0,11;0;0,31;0;21;0,92;0,42365569248734025
5,0;4,9;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;Spread10Y6M.Diff.lag_3;0,8;-2031,13;Level;Difference;1;1,0;-0,11;0;0,26;0;4;0,94;0,4046111906322273
5,5;5,4;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;INSEE_ConfianceMenagesFR.Diff.lag_12;1,2;72,81;Level;Difference;1;1,0;-0,15;1;0,63;0;7;0,93;0,3470491130754352
6,4;8,1;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;RDB_Nominal.pct.lag_3;1,03;1104,07;Level;Growth_rate;1;1,0;0,89;1;0,72;0;1;0,9;0,3363826315319327
5,0;3,5;0,0;EUROSTAT_GDPEuroArea.lag_3;Spread6M3M.lag_1;0,07;31808,32;Level;Level;1;1,0;-0,69;0;0,65;0;1;0,94;0,32330089540011164
6,4;8,3;0,0;RDB_Nominal.t;Spread5Y3M.Diff.lag_1;369,65;2405,9;Level;Difference;1;1,0;-0,07;1;0,88;0;39;0,91;0,3157940563796061
5,7;6,0;0,0;EUROSTAT_GDPEuroArea.lag_12;Spread10Y6M.lag_1;0,06;-32,37;Level;Level;1;1,0;-0,31;0;0,85;0;50;0,93;0,30907027313478763
5,4;5,8;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;BBG_TauxOat10Y.lag_1;1,14;-532,39;Level;Level;1;1,0;-0,67;1;0,24;0;10;0,93;0,30336431769353445
5,5;4,5;0,0;EUROSTAT_GDPEuroArea.lag_1;EUR006M_Index.t;0,06;1537,16;Level;Level;1;1,0;-0,9;0;0,37;0;5;0,92;0,3002942933116375
5,4;5,1;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;INSEE_ConfianceMenagesFR.lag_3;1,16;52,8;Level;Level;1;1,0;0,69;1;0,43;0;8;0,93;0,28198557654885603
