"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
5;3,5;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread6M3M.lag_1";0,07;31808,32;"Level";"Level";1;1;-0,69;0;0,65;0;1;0,94
5;3,7;0;"INSEE_InvestEntreprisesNonFinancieresFR.t";"Spread6M3M.pct.lag_1";1,18;21,99;"Level";"Growth_rate";1;1;0,04;1;0,71;4;0;0,94
5;3,9;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"Spread6M3M.pct.lag_1";1,19;19,83;"Level";"Growth_rate";1;1;0,05;1;0,72;2;0;0,94
5;5;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"EUSA10_Curncy.Diff.lag_3";0,8;-1702,13;"Level";"Difference";1;1;-0,09;0;0,28;0;4;0,93
5;5;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"Spread10Y3M.Diff.lag_3";0,8;-1832,82;"Level";"Difference";1;1;-0,12;0;0,26;0;5;0,93
5;4,9;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"Spread10Y6M.Diff.lag_3";0,8;-2031,13;"Level";"Difference";1;1;-0,11;0;0,26;0;4;0,94
5;4,1;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"CPI_Excl_Tabac.Diff.lag_3";0,83;-1033,15;"Level";"Difference";1;1;0,26;0;0,43;1;10;0,94
5;3,5;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread6M3M.Diff.lag_3";0,06;31798,91;"Level";"Difference";1;1;-0,12;1;0,71;0;4;0,94
5,1;4,3;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread6M3M.t";0,07;25841,39;"Level";"Level";1;1;-0,68;0;0,5;0;17;0,94
5,1;4,4;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread6M3M.pct.t";0,06;12,16;"Level";"Growth_rate";1;1;0,05;1;0,48;0;13;0,93
5,1;3,8;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread6M3M.pct.lag_1";0,06;14,33;"Level";"Growth_rate";1;1;0,08;0;0,78;0;3;0,94
