Date;EUROSTAT_GDPEuroArea;STOXX_EUROSTOXX50;INSEE_PIBFR;EURONEXT_CAC40;EUSA10_Curncy;EUSA5_Curncy;EUR006M_Index;Chomage;INSEE_ConfianceMenagesFR;INSEE_ConsommationFinaleMenagesFR;INSEE_InvestEntreprisesNonFinancieresFR;CPI_Excl_Tabac;INSEE_ProductionIndustrielle_France;RDB_Nominal;BBG_TauxOat10Y;SP_SP500;PIB_Reel;EUR003M_Index;Spread5Y3M;Spread10Y3M;SpreadOat10Y3M;Spread6M3M;Spread5Y6M;Spread10Y6M;SpreadOAT10Y6M
30/06/2018;2638688,7;3430,835;571010,0;5389,190000000001;0,8985;0,293175;-0,26925;8,8;97,0;296025,0;75011,0;103,07;104,685;356,012;0,665;2718,37;571,39;-0,324;0,617175;1,2225;0,9890000000000001;0,05475000000000002;0,562425;1,1677499999999998;0,93425
31/07/2018;2638951,033333333;3525,49;571803,6666666666;5511,3;0,94;0,334;-0,268;8,683333333333334;97,0;296369,3333333333;75271,66667;102,96;104,205;357,787;0,732;2816,29;573,97;-0,319;0,653;1,259;1,051;0,05099999999999999;0,6020000000000001;1,208;1,0
31/08/2018;2639213,366666667;3392,9;572597,3333333334;5406,85;0,871;0,2733;-0,268;8,666666666666666;97,0;296713,6666666667;75532,33333;103,48;104,855;358,26;0,682;2901,52;573,97;-0,319;0,5923;1,19;1,0010000000000001;0,05099999999999999;0,5413;1,139;0,9500000000000001
30/09/2018;2639672,25;3347,2025;573391,0;5371,8175;0,9515;0,3499;-0,26575;8,649999999999999;94,0;297058,0;75793,0;103,25;103,645;358,733;0,804;2913,98;573,97;-0,318;0,6678999999999999;1,2695;1,122;0,05225000000000002;0,61565;1,21725;1,06975
31/10/2018;2642218,716666667;3197,51;574770,0;5093,44;0,957;0,3465;-0,259;8,55;95,0;297576,3333333333;75824,33333;103,37;104,655;362,2166666666666;0,751;2711,74;577,023;-0,318;0,6645;1,275;1,069;0,059;0,6054999999999999;1,216;1,01
30/11/2018;2644765,183333334;3173,13;576149,0;5003,92;0,879;0,2725;-0,251;8,5;92,0;298094,6666666667;75855,66667;103,14;103,68;363,1178333333334;0,684;2760,17;577,023;-0,316;0,5885;1,195;1,0;0,065;0,5235000000000001;1,13;0,935
31/12/2018;2655806,7;3001,42;577528,0;4730,69;0,8113;0,198;-0,237;8,45;88,0;298613,0;75887,0;103,16;105,205;364,019;0,71;2506,85;577,023;-0,309;0,507;1,1203;1,019;0,07200000000000001;0,435;1,0483;0,947
31/01/2019;2659005,35;3159,43;578759,6666666666;4992,72;0,6628;0,1233;-0,236;8,4;93,0;299315,3333333333;75911,66667;102,67;105,285;365,5421666666666;0,554;2704,1;580,921;-0,308;0,4313;0,9707999999999999;0,8620000000000001;0,07200000000000001;0,3593;0,8987999999999999;0,79
28/02/2019;2662204,0;3298,26;579991,3333333334;5240,53;0,7001;0,1705;-0,229;8,4;96,0;300017,6666666667;75936,33333;102,73;105,745;366,0043333333333;0,569;2784,49;580,921;-0,309;0,47950000000000004;1,0090999999999999;0,8779999999999999;0,07999999999999999;0,3995;0,9290999999999999;0,7979999999999999
31/03/2019;2673697,8;3379,075;581223,0;5382,0;0,539275;0,058125;-0,229;8,4;97,0;300720,0;75961,0;103,43;105,525;366,4665;0,318;2834,4;580,921;-0,311;0,369125;0,8502749999999999;0,629;0,08199999999999999;0,287125;0,7682749999999999;0,547
30/04/2019;2674526,2;3514,62;582233,6666666666;5586,41;0,513;0,034;-0,231;8,216666666666667;98,0;301158,0;76278,0;103,76;105,425;367,6433333333333;0,368;2945,83;584,818;-0,31;0,344;0,823;0,6779999999999999;0,07899999999999999;0,265;0,744;0,599
31/05/2019;2675354,6;3280,43;583244,3333333334;5207,63;0,336;-0,097;-0,25;8,183333333333334;99,0;301596,0;76595,0;103,86;106,45;367,8431666666667;0,21;2752,06;584,818;-0,322;0,225;0,658;0,532;0,07200000000000001;0,153;0,5860000000000001;0,45999999999999996
30/06/2019;2680312,5;3423,665;584255,0;5451,1175;0,173975;-0,22765;-0,3085;8,149999999999999;100,0;302034,0;76912,0;104,12;104,08;368,043;-0,005;2941,76;584,818;-0,344;0,11634999999999998;0,517975;0,33899999999999997;0,035499999999999976;0,08085;0,482475;0,3035
31/07/2019;2681421,616666667;3466,85;584489,3333333334;5518,9;0,0059;-0,3446;-0,362;8,149999999999999;102,0;302548,3333333333;77225,0;103,91;104,51;369,9285;-0,184;2980,38;585,607;-0,375;0,030399999999999983;0,3809;0,191;0,013000000000000012;0,01739999999999997;0,3679;0,178
31/08/2019;2682530,733333333;3472,455;584723,6666666666;5539,412499999999;-0,175125;-0,4501500000000001;-0,401;8,149999999999999;102,0;303062,6666666667;77538,0;104,4;103,655;370,3545;-0,403;2926,46;585,607;-0,422;-0,02815000000000012;0,24687499999999998;0,01899999999999996;0,020999999999999963;-0,04915000000000008;0,22587500000000002;-0,0020000000000000018
30/09/2019;2686551,6;3569,45;584958,0;5677,79;-0,1524;-0,4044;-0,386;8,149999999999999;104,0;303577,0;77851,0;104,04;105,045;370,7805;-0,274;2976,74;585,607;-0,418;0,013600000000000001;0,26559999999999995;0,14399999999999996;0,03199999999999997;-0,018399999999999972;0,2336;0,11199999999999999
31/10/2019;2686518,966666667;3604,41;584199,6666666666;5729,86;0,025;-0,267;-0,337;8,05;104,0;303803,3333333333;77871,0;103,99;104,765;373,4588333333334;-0,097;3037,56;583,097;-0,394;0,127;0,41900000000000004;0,29700000000000004;0,056999999999999995;0,07;0,36200000000000004;0,24000000000000002
30/11/2019;2686486,333333333;3689,18;583441,3333333334;5879,565000000001;0,0866;-0,2115;-0,33675;8,0;106,0;304029,6666666667;77891,0;103,92;104,005;373,9626666666667;-0,049;3140,98;583,097;-0,4;0,18850000000000003;0,48660000000000003;0,35100000000000003;0,06325000000000003;0,12525;0,42335;0,28775
31/12/2019;2686751,25;3745,15;582683,0;5978,06;0,2114;-0,129;-0,324;7,95;102,0;304256,0;77911,0;104,39;102,04;374,4665;0,118;3230,78;583,097;-0,383;0,254;0,5944;0,501;0,059;0,195;0,5354;0,442
