"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
4,9;3,7;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"Spread10Y6M.Diff.lag_3";0,85;-2905,28;"Level";"Difference";1;1;0,26;0;0,85;3;0;0,91
5;4;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"EUSA10_Curncy.Diff.lag_3";0,84;-2551,99;"Level";"Difference";1;1;0,26;0;0,93;3;0;0,91
5;3,8;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"Spread10Y3M.Diff.lag_3";0,84;-2786,03;"Level";"Difference";1;1;0,26;0;0,86;3;0;0,91
5;3,5;0;"EUROSTAT_GDPEuroArea.lag_12";"Spread5Y6M.Diff.lag_3";0,08;-5102,96;"Level";"Difference";1;1;0,35;0;0,79;4;6;0,91
5;3,6;0;"EUROSTAT_GDPEuroArea.lag_12";"Spread10Y6M.Diff.lag_3";0,08;-3168,23;"Level";"Difference";1;1;0,28;0;0,83;1;4;0,91
5,1;4,8;0;"EUROSTAT_GDPEuroArea.lag_3";"SP_SP500.Diff.t";0,06;5,09;"Level";"Difference";1;1;0,05;0;0,57;0;28;0,9
5,1;4,4;0;"INSEE_InvestEntreprisesNonFinancieresFR.t";"Spread6M3M.pct.lag_1";1,22;20,08;"Level";"Growth_rate";1;1;-0,1;1;0,95;9;0;0,9
5,1;4,1;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"Spread6M3M.pct.lag_1";1,25;17,89;"Level";"Growth_rate";1;1;-0,08;1;0,97;7;0;0,9
5,1;4,2;0;"EUROSTAT_GDPEuroArea.lag_3";"EUSA10_Curncy.Diff.lag_3";0,06;-2174,46;"Level";"Difference";1;1;0,24;0;0,98;0;5;0,91
5,1;3,7;0;"EUROSTAT_GDPEuroArea.lag_12";"EUSA10_Curncy.Diff.lag_3";0,08;-2861,55;"Level";"Difference";1;1;0,27;0;0,89;1;3;0,91
5,1;3,8;0;"EUROSTAT_GDPEuroArea.lag_12";"EUSA5_Curncy.Diff.lag_3";0,08;-4314,86;"Level";"Difference";1;1;0,33;0;0,86;4;3;0,91
5,1;3,6;0;"EUROSTAT_GDPEuroArea.lag_12";"Spread5Y3M.Diff.lag_3";0,08;-4780,5;"Level";"Difference";1;1;0,34;0;0,79;3;7;0,91
5,1;4,2;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread10Y3M.Diff.lag_3";0,06;-2300,2;"Level";"Difference";1;1;0,24;0;0,98;0;8;0,91
5,1;3,6;0;"EUROSTAT_GDPEuroArea.lag_12";"Spread10Y3M.Diff.lag_3";0,08;-3053,09;"Level";"Difference";1;1;0,27;0;0,83;1;5;0,91
5,1;3,9;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"Spread5Y6M.Diff.lag_3";0,85;-3880,63;"Level";"Difference";1;1;0,31;0;0,88;3;1;0,9
5,1;4,2;0;"EUROSTAT_GDPEuroArea.lag_3";"Spread10Y6M.Diff.lag_3";0,06;-2454,91;"Level";"Difference";1;1;0,24;0;0,98;0;6;0,91
5,1;4,2;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"CPI_Excl_Tabac.Diff.lag_3";0,83;-1058,95;"Level";"Difference";1;1;0,22;0;0,69;3;7;0,9
5,1;4;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"BBG_TauxOat10Y.Diff.lag_3";0,83;-1548,59;"Level";"Difference";1;1;0,22;0;0,74;1;0;0,9
5,1;4;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"SpreadOat10Y3M.Diff.lag_3";0,83;-1626,28;"Level";"Difference";1;1;0,22;0;0,67;1;0;0,9
5,1;4;0;"INSEE_ConsommationFinaleMenagesFR.lag_12";"SpreadOAT10Y6M.Diff.lag_3";0,83;-1683,5;"Level";"Difference";1;1;0,22;0;0,66;1;0;0,9
