RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
12,0;8,2;0,03;RDB_Nominal.pct.t;Spread10Y6M.lag_3;2633,84;-4124,42;Growth_rate;Level;1;1,0;0,12;1;0,25;0;30;0,63;0,6298711675272628
13,7;6,5;0,04;EURONEXT_CAC40.lag_1;STOXX_EUROSTOXX50.Diff.lag_12;5,46;-2,18;Level;Difference;1;1,0;0,06;1;0,76;0;29;0,53;0,6098112633842585
13,7;6,8;0,06;EURONEXT_CAC40.lag_1;Spread10Y3M.lag_12;5,18;-727,83;Level;Level;1;1,0;-0,59;0;0,0;0;35;0,53;0,6031676498915464
9,6;7,5;0,0;EUROSTAT_GDPEuroArea.t;INSEE_PIBFR.Diff.t;0,05;-0,05;Level;Difference;1;1,0;0,16;1;0,0;0;0;0,76;0,5931979333783625
9,8;5,7;0,0;EUROSTAT_GDPEuroArea.t;SP_SP500.Diff.lag_1;0,05;2,88;Level;Difference;1;1,0;-0,16;1;0,0;0;0;0,75;0,5877000644283075
13,0;39,6;0,01;INSEE_ConsommationFinaleMenagesFR.t;EUR006M_Index.lag_3;0,37;-4239,47;Level;Level;1;1,0;-0,25;1;0,0;0;0;0,54;0,5842429365309754
12,9;25,2;0,01;EURONEXT_CAC40.t;CPI_Excl_Tabac.lag_3;2,75;818,58;Level;Level;1;1,0;0,78;0;0,25;0;15;0,59;0,5733901091126123
18,9;14,6;0,09;STOXX_EUROSTOXX50.t;Spread10Y6M.Diff.lag_1;8,42;-1472,53;Level;Difference;1;1,0;0,23;0;0,02;0;27;0,22;0,5727293463916457
18,9;14,8;0,13;STOXX_EUROSTOXX50.t;;8,13;;Level;;1;;0,0;1;0,01;0;26;0,22;0,5723868029934954
14,7;35,3;0,0;PIB_Reel.lag_1;Spread6M3M.pct.lag_1;179,34;0,92;Level;Growth_rate;1;1,0;0,33;0;0,0;0;0;0,51;0,5629071418758547
14,1;28,8;0,01;CPI_Excl_Tabac.lag_3;STOXX_EUROSTOXX50.Diff.lag_1;1367,26;1,47;Level;Difference;1;1,0;-0,15;0;0,88;0;26;0,54;0,5569894955675856
11,7;6,5;0,0;Chomage.lag_1;EURONEXT_CAC40.pct.lag_12;-4541,31;-19,81;Level;Growth_rate;1;1,0;0,01;0;0,47;0;61;0,67;0,5507829135177004
13,4;9,9;0,08;STOXX_EUROSTOXX50.lag_1;EUSA10_Curncy.lag_12;2,79;-5130,38;Level;Level;1;1,0;-0,57;0;0,54;0;1;0,47;0,5419010435670835
13,7;7,1;0,04;EURONEXT_CAC40.lag_1;Spread5Y6M.pct.lag_3;5,85;-2,61;Level;Growth_rate;1;1,0;0,46;1;0,0;0;73;0,54;0,538149649823602
8,3;7,4;0,0;EUROSTAT_GDPEuroArea.lag_1;EUSA10_Curncy.lag_12;0,04;-2439,02;Level;Level;1;1,0;-0,57;1;0,0;0;0;0,8;0,5331846130127922
12,8;23,9;0,01;CPI_Excl_Tabac.lag_3;SpreadOAT10Y6M.t;1232,99;-2870,27;Level;Level;1;1,0;-0,27;0;0,66;0;16;0,58;0,5328205424195218
11,2;14,7;0,03;RDB_Nominal.t;;175,14;;Level;;1;;0,0;1;0,48;0;8;0,67;0,5287201749159527
14,1;29,6;0,01;CPI_Excl_Tabac.lag_3;INSEE_InvestEntreprisesNonFinancieresFR.pct.lag_1;1342,2;11,89;Level;Growth_rate;1;1,0;0,3;0;0,9;0;27;0,53;0,5282816202758411
14,7;7,7;0,01;INSEE_ConsommationFinaleMenagesFR.lag_1;INSEE_ConfianceMenagesFR.Diff.lag_12;0,42;1,73;Level;Difference;1;1,0;-0,06;0;0,0;0;0;0,49;0,5203761664418127
14,1;29,3;0,01;CPI_Excl_Tabac.lag_3;Spread10Y6M.pct.lag_1;1349,13;0,04;Level;Growth_rate;1;1,0;0,11;0;0,4;0;26;0,53;0,5121441884237841
14,1;28,9;0,01;CPI_Excl_Tabac.lag_3;EUSA10_Curncy.Diff.t;1478,43;-2173,95;Level;Difference;1;1,0;0,54;0;0,7;0;21;0,54;0,5078528809937312
