"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
7;5,5;0;"EUROSTAT_GDPEuroArea.lag_1";"INSEE_ConsommationFinaleMenagesFR.pct.lag_3";0,06;-595,45;"Level";"Growth_rate";1;1;0,45;1;0;0;0;0,86
7;7,6;0;"EUROSTAT_GDPEuroArea.lag_1";"EUR006M_Index.lag_12";0,02;-10724,29;"Level";"Level";1;1;-0,81;1;0,01;0;59;0,85
7,1;7,4;0;"EUROSTAT_GDPEuroArea.t";"EUROSTAT_GDPEuroArea.lag_12";0,03;0,02;"Level";"Level";1;1;0,62;1;0,93;0;0;0,86
7,1;7,5;0;"EUROSTAT_GDPEuroArea.t";"EUR006M_Index.lag_12";0,02;-10945,15;"Level";"Level";1;1;-0,82;1;0,01;0;67;0,85
7,2;6,8;0;"EUROSTAT_GDPEuroArea.lag_1";"EUROSTAT_GDPEuroArea.pct.lag_1";0,06;-587,01;"Level";"Growth_rate";1;1;0,45;1;0,65;0;0;0,85
7,2;7,1;0;"EUROSTAT_GDPEuroArea.lag_1";"EUR003M_Index.lag_12";0,02;-11596,95;"Level";"Level";1;1;-0,81;1;0,03;0;45;0,85
7,3;7,6;0;"EUROSTAT_GDPEuroArea.t";"INSEE_ConsommationFinaleMenagesFR.pct.lag_1";0,06;-577,45;"Level";"Growth_rate";1;1;0,45;1;0,47;0;0;0,85
7,3;7,1;0;"EUROSTAT_GDPEuroArea.lag_1";"EUROSTAT_GDPEuroArea.lag_12";0,03;0,02;"Level";"Level";1;1;0,64;1;0,78;0;0;0,85
7,3;6,7;0;"INSEE_PIBFR.lag_1";"EUR006M_Index.lag_12";0,08;-13451,54;"Level";"Level";1;1;-0,67;1;0,02;0;67;0,84
7,3;5,8;0;"EUROSTAT_GDPEuroArea.lag_1";"INSEE_ConfianceMenagesFR.lag_12";0,03;320,6;"Level";"Level";1;1;0,56;1;0,03;0;0;0,84
7,4;7,5;0;"EUROSTAT_GDPEuroArea.t";"EUROSTAT_GDPEuroArea.pct.t";0,05;-587,87;"Level";"Growth_rate";1;1;0,45;1;0,65;0;0;0,85
7,4;7,8;0;"EUROSTAT_GDPEuroArea.lag_1";"PIB_Reel.pct.lag_3";0,05;-437,77;"Level";"Growth_rate";1;1;0,45;1;0,64;0;0;0,84
7,4;6,4;0;"INSEE_ConsommationFinaleMenagesFR.lag_1";"EUR006M_Index.lag_12";0,15;-14109,46;"Level";"Level";1;1;-0,62;1;0,01;0;58;0,83
7,4;7,1;0;"EUROSTAT_GDPEuroArea.t";"EUR003M_Index.lag_12";0,02;-11826,85;"Level";"Level";1;1;-0,82;1;0,03;0;52;0,84
7,4;15,8;0;"RDB_Nominal.pct.lag_1";"EUROSTAT_GDPEuroArea.lag_12";1723,85;0,03;"Growth_rate";"Level";1;1;0,43;1;0;0;38;0,84
7,5;7;0;"EUROSTAT_GDPEuroArea.lag_1";"INSEE_PIBFR.pct.lag_3";0,05;-459,03;"Level";"Growth_rate";1;1;0,45;1;0,01;0;0;0,84
7,5;5,9;0;"EUROSTAT_GDPEuroArea.t";"INSEE_ConfianceMenagesFR.lag_12";0,03;319,13;"Level";"Level";1;1;0,57;1;0,04;0;0;0,83
7,5;6,4;0;"INSEE_PIBFR.t";"EUR006M_Index.lag_12";0,07;-13755,3;"Level";"Level";1;1;-0,68;1;0,01;0;69;0,83
7,6;6,2;0;"INSEE_PIBFR.lag_1";"EUR003M_Index.lag_12";0,08;-14707,97;"Level";"Level";1;1;-0,67;1;0,1;0;53;0,83
7,6;6,3;0;"PIB_Reel.lag_1";"EUR006M_Index.lag_12";59,37;-14182,43;"Level";"Level";1;1;-0,66;1;0,01;0;70;0,83
7,6;11,5;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"EUR006M_Index.lag_12";0,23;-12458,98;"Level";"Level";1;1;-0,84;0;0,01;0;19;0,82
7,6;8,9;0;"RDB_Nominal.pct.lag_1";"EUR006M_Index.lag_12";733,41;-14135,4;"Growth_rate";"Level";1;1;-0,72;0;0,02;0;11;0,82
7,6;12,9;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"INSEE_ConfianceMenagesFR.lag_12";0,49;355,76;"Level";"Level";1;1;0,53;1;0,12;0;0;0,82
7,7;6,7;0;"EUROSTAT_GDPEuroArea.t";"EUROSTAT_GDPEuroArea.pct.lag_1";0,05;-558,48;"Level";"Growth_rate";1;1;0,44;1;0,07;0;0;0,84
7,7;6;0;"INSEE_ConsommationFinaleMenagesFR.lag_1";"EUR003M_Index.lag_12";0,15;-15422,55;"Level";"Level";1;1;-0,62;1;0,06;0;44;0,83
7,7;6,3;0;"INSEE_ConsommationFinaleMenagesFR.t";"EUR006M_Index.lag_12";0,12;-14571,75;"Level";"Level";1;1;-0,64;1;0;0;73;0,82
7,7;6,1;0;"PIB_Reel.t";"EUR006M_Index.lag_12";52,73;-14443,05;"Level";"Level";1;1;-0,67;1;0,01;0;48;0,82
7,7;9;0;"RDB_Nominal.pct.t";"EUR006M_Index.lag_12";620,79;-14551,97;"Growth_rate";"Level";1;1;-0,72;0;0,03;0;5;0,81
7,8;8,7;0;"EUROSTAT_GDPEuroArea.t";"INSEE_PIBFR.pct.lag_1";0,05;-440,44;"Level";"Growth_rate";1;1;0,44;1;0,6;0;0;0,83
7,8;7,2;0;"EUROSTAT_GDPEuroArea.lag_1";"INSEE_ConsommationFinaleMenagesFR.pct.lag_1";0,05;-485,28;"Level";"Growth_rate";1;1;0,41;1;0,01;0;0;0,83
7,8;9,5;0;"EUROSTAT_GDPEuroArea.lag_1";"PIB_Reel.lag_3";0,09;-225,06;"Level";"Level";1;1;0,95;1;0,02;0;1;0,82
7,8;6;0;"INSEE_PIBFR.t";"EUR003M_Index.lag_12";0,07;-15003,49;"Level";"Level";1;1;-0,68;1;0,07;0;56;0,83
7,8;16,5;0;"RDB_Nominal.pct.t";"EUROSTAT_GDPEuroArea.lag_12";1628,37;0,03;"Growth_rate";"Level";1;1;0,43;1;0;0;8;0,82
7,8;11,2;0;"INSEE_InvestEntreprisesNonFinancieresFR.t";"EUR006M_Index.lag_12";0,18;-13306,93;"Level";"Level";1;1;-0,84;0;0,02;0;16;0,81
7,8;8,6;0;"RDB_Nominal.pct.lag_1";"EUR003M_Index.lag_12";781,68;-15335,62;"Growth_rate";"Level";1;1;-0,72;0;0,05;0;14;0,81
7,8;5,4;0;"INSEE_ProductionIndustrielle_France.t";"EUR006M_Index.lag_12";152,98;-16938,18;"Level";"Level";1;1;-0,04;1;0,03;0;10;0,81
7,9;11,3;0;"EUROSTAT_GDPEuroArea.t";"Chomage.lag_1";0,03;-2351,13;"Level";"Level";1;1;-0,7;1;0;0;65;0,83
7,9;11,5;0;"EUROSTAT_GDPEuroArea.lag_1";"Chomage.lag_3";0,03;-2167,93;"Level";"Level";1;1;-0,67;1;0;0;40;0,83
7,9;6,5;0;"EUROSTAT_GDPEuroArea.lag_1";"BBG_TauxOat10Y.lag_12";0,04;-2427,15;"Level";"Level";1;1;-0,61;1;0;0;0;0,82
7,9;5,8;0;"PIB_Reel.lag_1";"EUR003M_Index.lag_12";60,97;-15489,94;"Level";"Level";1;1;-0,65;1;0,07;0;51;0,82
7,9;5,6;0;"EURONEXT_CAC40.lag_1";"INSEE_ConfianceMenagesFR.lag_12";3,96;471,51;"Level";"Level";1;1;0,35;1;0,16;0;0;0,8
7,9;15,6;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"EUROSTAT_GDPEuroArea.lag_12";0,44;0,03;"Level";"Level";1;1;0,62;1;0;0;84;0,82
7,9;11,1;0;"INSEE_InvestEntreprisesNonFinancieresFR.lag_1";"EUR003M_Index.lag_12";0,24;-13437,43;"Level";"Level";1;1;-0,84;0;0,04;0;21;0,82
8;8,2;0;"EUROSTAT_GDPEuroArea.t";"INSEE_ConsommationFinaleMenagesFR.pct.t";0,05;-482,85;"Level";"Growth_rate";1;1;0,4;1;0,03;0;0;0,82
8;5,6;0;"EUROSTAT_GDPEuroArea.lag_1";"EUROSTAT_GDPEuroArea.pct.lag_3";0,05;-498,14;"Level";"Growth_rate";1;1;0,42;1;0;0;0;0,83
8;5,9;0;"INSEE_ConsommationFinaleMenagesFR.t";"EUR003M_Index.lag_12";0,13;-15866,68;"Level";"Level";1;1;-0,63;1;0,01;0;57;0,82
8;5,7;0;"PIB_Reel.t";"EUR003M_Index.lag_12";56,1;-15705,23;"Level";"Level";1;1;-0,66;1;0,08;0;38;0,81
8;8,6;0;"RDB_Nominal.pct.t";"EUR003M_Index.lag_12";670,83;-15781,32;"Growth_rate";"Level";1;1;-0,71;0;0,1;0;6;0,81
8,1;11,6;0;"EUROSTAT_GDPEuroArea.t";"Chomage.lag_3";0,03;-2175,94;"Level";"Level";1;1;-0,68;1;0;0;50;0,82
8,1;5;0;"EUROSTAT_GDPEuroArea.t";"INSEE_ConsommationFinaleMenagesFR.pct.lag_3";0,05;-481,03;"Level";"Growth_rate";1;1;0,4;1;0;0;0;0,82
8,1;10,6;0;"EUROSTAT_GDPEuroArea.t";"INSEE_InvestEntreprisesNonFinancieresFR.lag_12";0,03;0,4;"Level";"Level";1;1;0,71;1;0,21;0;14;0,82
