RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
7,3;12,6;0,0;SP_SP500.t;BBG_TauxOat10Y.pct.lag_12;14,2;-2,96;Level;Growth_rate;1;1,0;0,4;1;0,85;0;6;0,8;0,3863027826177279
6,0;8,7;0,0;EUR006M_Index.lag_3;Chomage.lag_1;-11234,34;-4032,98;Level;Level;1;1,0;0,68;1;0,44;0;35;0,87;0,35601883238738485
5,4;5,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;RDB_Nominal.Diff.t;0,85;-303,01;Level;Difference;1;1,0;0,61;1;0,73;1;1;0,89;0,3455952330039129
6,2;7,4;0,0;PIB_Reel.lag_3;Spread10Y6M.Diff.lag_12;371,78;554,51;Level;Difference;1;1,0;0,11;0;0,99;0;1;0,86;0,3435991821484543
6,4;6,5;0,0;PIB_Reel.lag_1;Spread10Y3M.lag_12;336,85;-941,99;Level;Level;1;1,0;-0,6;1;0,3;0;42;0,84;0,33877985288779866
7,1;5,4;0,0;RDB_Nominal.lag_12;Spread10Y3M.lag_3;602,63;-1305,25;Level;Level;1;1,0;-0,18;0;0,78;0;51;0,84;0,320447036370049
7,3;4,8;0,0;RDB_Nominal.lag_12;BBG_TauxOat10Y.pct.t;624,59;-1,54;Level;Growth_rate;1;1,0;0,33;1;0,76;0;53;0,83;0,3117741240916856
5,5;4,9;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;Spread10Y6M.lag_1;1,28;-1019,19;Level;Level;1;1,0;-0,05;1;0,98;1;0;0,89;0,3117424550945994
6,9;5,7;0,0;RDB_Nominal.lag_12;BBG_TauxOat10Y.lag_3;556,01;-1009,87;Level;Level;1;1,0;-0,59;0;0,87;0;57;0,84;0,30721023561920535
5,6;5,2;0,0;EUROSTAT_GDPEuroArea.t;Chomage.t;0,06;-298,83;Level;Level;1;1,0;-0,86;0;0,16;0;36;0,89;0,3001311429590211
6,7;6,8;0,0;EUR006M_Index.lag_12;STOXX_EUROSTOXX50.Diff.lag_12;-17106,41;2,64;Level;Difference;1;1,0;0,15;1;0,9;0;28;0,84;0,2965933065877694
5,4;4,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;INSEE_ConfianceMenagesFR.pct.lag_12;0,78;63,64;Level;Growth_rate;1;1,0;0,44;1;0,67;2;2;0,89;0,28501250032687264
5,4;5,4;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;CPI_Excl_Tabac.pct.lag_12;1,21;-714,96;Level;Growth_rate;1;1,0;-0,18;1;0,5;1;1;0,89;0,2700749117751964
6,8;10,5;0,0;EUR003M_Index.lag_12;Spread10Y3M.t;-17661,62;-2424,57;Level;Level;1;1,0;-0,1;1;0,15;0;47;0,82;0,2696137185898181
6,4;5,7;0,0;PIB_Reel.lag_1;SP_SP500.pct.lag_12;341,55;-48,11;Level;Growth_rate;1;1,0;-0,38;1;0,63;0;45;0,85;0,26955591807876755
5,6;4,8;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;INSEE_ConfianceMenagesFR.lag_1;1,15;49,92;Level;Level;1;1,0;0,9;0;0,32;0;1;0,88;0,2621180486991507
5,6;5,8;0,0;EUROSTAT_GDPEuroArea.t;EUSA5_Curncy.lag_3;0,06;-56,7;Level;Level;1;1,0;-0,67;0;0,69;0;44;0,89;0,25925789406603017
5,6;5,5;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;EURONEXT_CAC40.t;1,37;-0,76;Level;Level;1;1,0;0,8;1;0,83;1;0;0,88;0,25515642887389656
5,6;4,8;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;Spread5Y3M.Diff.t;1,2;2629,29;Level;Difference;1;1,0;0,34;0;0,1;0;15;0,89;0,25508136985051255
5,6;5,6;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;EUR006M_Index.Diff.t;1,3;-4292,18;Level;Difference;1;1,0;0,26;1;0,96;1;0;0,88;0,25182522703196963
5,5;4,8;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;SpreadOat10Y3M.t;1,21;-619,36;Level;Level;1;1,0;-0,27;1;0,95;1;0;0,89;0,24674930337044787
5,5;4,7;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;Spread6M3M.t;1,33;25192,68;Level;Level;1;1,0;-0,62;1;0,9;1;0;0,89;0,24276202859444196
5,5;4,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;Spread10Y6M.Diff.t;0,8;862,14;Level;Difference;1;1,0;0,28;1;0,26;1;7;0,89;0,23955417557476755
5,5;4,6;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;INSEE_InvestEntreprisesNonFinancieresFR.pct.lag_12;0,83;-67,66;Level;Growth_rate;1;1,0;0,74;0;0,86;1;1;0,89;0,23796494728140927
5,6;4,5;0,0;INSEE_PIBFR.lag_12;STOXX_EUROSTOXX50.Diff.lag_1;0,5;1,52;Level;Difference;1;1,0;-0,14;1;0,75;1;6;0,88;0,23722693404188966
5,6;4,8;0,0;EUROSTAT_GDPEuroArea.lag_1;PIB_Reel.pct.t;0,06;-611,59;Level;Growth_rate;1;1,0;0,72;1;0,94;2;4;0,89;0,23647076896820796
5,6;4,6;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;SpreadOAT10Y6M.t;1,18;-750,52;Level;Level;1;1,0;-0,24;1;0,94;1;0;0,88;0,23590851821111192
