Date;target
30/09/2012;18730,0
31/10/2012;20652,0
30/11/2012;20820,0
31/12/2012;21325,0
31/01/2013;18874,0
28/02/2013;19229,0
31/03/2013;19644,0
30/04/2013;19913,0
31/05/2013;19641,0
30/06/2013;21246,0
31/07/2013;20869,0
31/08/2013;19239,0
30/09/2013;18591,0
31/10/2013;19807,0
30/11/2013;20843,0
31/12/2013;23401,0
31/01/2014;20857,0
28/02/2014;20727,0
31/03/2014;20732,0
30/04/2014;21396,0
31/05/2014;20970,0
30/06/2014;22682,0
31/07/2014;21854,0
31/08/2014;20533,0
30/09/2014;20219,0
31/10/2014;22398,0
30/11/2014;22799,0
31/12/2014;24864,0
31/01/2015;22811,0
28/02/2015;22517,0
31/03/2015;22646,0
30/04/2015;23469,0
31/05/2015;22938,0
30/06/2015;24068,0
31/07/2015;23936,0
31/08/2015;21602,0
30/09/2015;21691,0
31/10/2015;24138,0
30/11/2015;24283,0
31/12/2015;29522,0
31/01/2016;26852,0
29/02/2016;26109,0
31/03/2016;27160,0
30/04/2016;28148,0
31/05/2016;27473,0
30/06/2016;28968,0
31/07/2016;28317,0
31/08/2016;25771,0
30/09/2016;25800,0
31/10/2016;27162,0
30/11/2016;27601,0
31/12/2016;31558,0
31/01/2017;27892,0
28/02/2017;27407,0
31/03/2017;29065,0
30/04/2017;29274,0
31/05/2017;28389,0
30/06/2017;30772,0
31/07/2017;30104,0
31/08/2017;28080,0
30/09/2017;28592,0
31/10/2017;30795,0
30/11/2017;31663,0
31/12/2017;35616,0
31/01/2018;33130,0
28/02/2018;32345,0
31/03/2018;33660,0
30/04/2018;33705,0
31/05/2018;33383,0
30/06/2018;35466,0
31/07/2018;35464,0
31/07/2019;38025,0
31/08/2019;34999,0
30/09/2019;34175,0
31/10/2019;36194,0
30/11/2019;37134,0
31/12/2019;40178,0
31/01/2020;35844,0
